HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.base_sentence,Input.phrase,Input.edited_sentence,Answer.sentiment.label
3MD8CKRQZ0NTWJOGXP8YOV04528JRP,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:10 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:10 PST 2020,,,3DL65MZB8EFJ2LBZRUCEQ4KFL72ECJ,A3QZMGTVA4VO44,Submitted,Sat Feb 22 15:58:47 PST 2020,Sat Feb 22 15:58:57 PST 2020,Tue Feb 25 15:58:57 PST 2020,,,,10,0% (0/0),0% (0/0),0% (0/0),The elections for the second term were won by the coalition between the Radical Party ( center ) and the CEDA ( right ) .,held in 1933 and,The elections for the second term were held in 1933 and won by the coalition between the Radical Party ( center ) and the CEDA ( right ) .,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3OND0WXMHXF8W9OLNJLDDBL6DLEEH2,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:01 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:01 PST 2020,,,3PZDLQMM0ULR75ZJYAHDO3BQO4BC2E,AYJGJAIY0EXW,Submitted,Sat Feb 22 15:49:06 PST 2020,Sat Feb 22 15:49:18 PST 2020,Tue Feb 25 15:49:18 PST 2020,,,,12,0% (0/0),0% (0/0),0% (0/0),Nickelodeon now owns the rights to the 2003 series .,Since mid-October 2009,Since mid-October 2009 Nickelodeon now owns the rights to the 2003 series .,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3P520RYKCI6D5C1CCHZ9SW4JU0HU5I,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:13 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:13 PST 2020,,,317HQ483I8SE9UACC3BJRUCJC4MIND,A681XM15AN28F,Submitted,Sat Feb 22 15:52:53 PST 2020,Sat Feb 22 15:53:12 PST 2020,Tue Feb 25 15:53:12 PST 2020,,,,19,0% (0/0),0% (0/0),0% (0/0),"Tetrabutyl ammonium hydroxide is the chemical compound with the formula ( C 4 H 9 ) 4 NOH , abbreviated Bu 4 NOH with the acronymn TBAH .",TBAOH or,"Tetrabutyl ammonium hydroxide is the chemical compound with the formula ( C 4 H 9 ) 4 NOH , abbreviated Bu 4 NOH with the acronymn TBAOH or TBAH .","Adding spammy, useless or derogatory content"
3D42WVSDH9VMOIE6SU97HT19FI6YF3,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:10 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:10 PST 2020,,,379J5II41PGC5P55475DTNA2FGFLE5,AYJGJAIY0EXW,Submitted,Sat Feb 22 15:53:31 PST 2020,Sat Feb 22 15:53:48 PST 2020,Tue Feb 25 15:53:48 PST 2020,,,,17,0% (0/0),0% (0/0),0% (0/0),Agnew has lived in Elderslie most of his life with a few years living in Glasgow while trying to find work and graduating from College .,", Renfrewshire , Scotland","Agnew has lived in Elderslie , Renfrewshire , Scotland most of his life with a few years living in Glasgow while trying to find work and graduating from College .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3XBYQ44Z6Q4SII178DW8D0VUVJETW7,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:12 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:12 PST 2020,,,3YW4XOSQKRLG4EYN1X2ZDQNR3Y51UX,A1O4TRWZO664V3,Submitted,Sat Feb 22 15:58:24 PST 2020,Sat Feb 22 15:58:47 PST 2020,Tue Feb 25 15:58:47 PST 2020,,,,23,0% (0/0),0% (0/0),0% (0/0),"While early atlases focused on merely presence or absence of species , there is an increasing trend towards those that indicate abundance or relative abundance .","and their breeding ,","While early atlases focused on merely presence or absence of species , and their breeding , there is an increasing trend towards those that indicate abundance or relative abundance .","Copy Editing(Rephrase without changing meaning,  improve grammar etc)"
368IUKXGA68WWBTU0EAKAWVKIE0P6X,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:13 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:13 PST 2020,,,3Z4XG4ZF49RQWIC35NM1C793BMSX85,A681XM15AN28F,Submitted,Sat Feb 22 16:00:43 PST 2020,Sat Feb 22 16:00:50 PST 2020,Tue Feb 25 16:00:50 PST 2020,,,,7,0% (0/0),0% (0/0),0% (0/0),The Householder transformation was introduced 1958 by Alston Scott Householder .,in,The Householder transformation was introduced in 1958 by Alston Scott Householder .,"Copy Editing(Rephrase without changing meaning,  improve grammar etc)"
3W9XHF7WGLV1NI7QJZD5PP1Z8C5TKB,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:01 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:01 PST 2020,,,3LOZAJ85YEDFA3AEP6D02GW0PM0X22,A3QJ14Y7N8VQ42,Submitted,Sat Feb 22 16:00:31 PST 2020,Sat Feb 22 16:00:53 PST 2020,Tue Feb 25 16:00:53 PST 2020,,,,22,0% (0/0),0% (0/0),0% (0/0),"Pearce became a noted translator , winning the Scott - Moncrieff prize three times .",later,"Pearce later became a noted translator , winning the Scott - Moncrieff prize three times .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3ZZAYRN1I7RKD9S5HR5YW6I8SHFTOV,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:10 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:10 PST 2020,,,3IHR8NYAM81K48NA7TM71I7V71NP42,A681XM15AN28F,Submitted,Sat Feb 22 16:00:31 PST 2020,Sat Feb 22 16:00:38 PST 2020,Tue Feb 25 16:00:38 PST 2020,,,,7,0% (0/0),0% (0/0),0% (0/0),He was made a Member of the Order of Canada in 1986 .,and screwed up his life by sucking it,He was made a Member of the Order of Canada in 1986 and screwed up his life by sucking it .,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3Y3N5A7N4H9SUS6NEHDKCJLICJIYMA,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:12 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:12 PST 2020,,,34PGFRQONPB0RZ3WMMN6ZE4AIVFJWH,A681XM15AN28F,Submitted,Sat Feb 22 15:49:36 PST 2020,Sat Feb 22 15:49:44 PST 2020,Tue Feb 25 15:49:44 PST 2020,,,,8,0% (0/0),0% (0/0),0% (0/0),"Jim Lash ( born 1951 , in Pittsburgh ) was an American football player who played wide receiver in the NFL in the 1970s and played on three Super Bowl teams .",", USA","Jim Lash ( born 1951 , in Pittsburgh , USA ) was an American football player who played wide receiver in the NFL in the 1970s and played on three Super Bowl teams .","Copy Editing(Rephrase without changing meaning,  improve grammar etc)"
3KA7IJSNW7522NAPW5RSLCHCWFBPBI,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:16 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:16 PST 2020,,,30OG32W0SVB2TP8QGKLS6FERKBFEN0,A681XM15AN28F,Submitted,Sat Feb 22 15:48:20 PST 2020,Sat Feb 22 15:48:32 PST 2020,Tue Feb 25 15:48:32 PST 2020,,,,12,0% (0/0),0% (0/0),0% (0/0),"Lopez was born in Sweden and later moved to Uruguay , then back to Sweden .",is cool and,"Lopez is cool and was born in Sweden and later moved to Uruguay , then back to Sweden .","Copy Editing(Rephrase without changing meaning,  improve grammar etc)"
3IKMEYR0LXV73JDD0KT9O2S98ZSK2A,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:13 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:13 PST 2020,,,32SCWG5HII4YJVROQHFMYGR93SS6P3,A3P7M9666KJCP,Submitted,Sat Feb 22 15:47:09 PST 2020,Sat Feb 22 15:48:07 PST 2020,Tue Feb 25 15:48:07 PST 2020,,,,58,0% (0/0),0% (0/0),0% (0/0),"Media Matters for America , Ryan Chittum in the '' Columbia Journalism Review '' , and others , disputed D'Souza 's assertions about Barack Obama .",President,"Media Matters for America , Ryan Chittum in the '' Columbia Journalism Review '' , and others , disputed D'Souza 's assertions about President Barack Obama .","Copy Editing(Rephrase without changing meaning,  improve grammar etc)"
3D7VY91L66XWHKDC4PZ048NHRA0BM8,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:01 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:01 PST 2020,,,3KOPY89HM9230118C2C4UHTDK2L3JV,A1R5W4RQZTROD8,Submitted,Sat Feb 22 15:55:02 PST 2020,Sat Feb 22 15:55:56 PST 2020,Tue Feb 25 15:55:56 PST 2020,,,,54,0% (0/0),0% (0/0),0% (0/0),"This is part of the scientific process , and rarely produces results that transfer painlessly to the real world .",all,"This is all part of the scientific process , and rarely produces results that transfer painlessly to the real world .","Copy Editing(Rephrase without changing meaning,  improve grammar etc)"
3P4ZBJFX2W3IZDJ6DTRJWWGT4A6WF2,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:16 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:16 PST 2020,,,3EWIJTFFVP7Z8TGJFEJUV3IECI5E0Q,A681XM15AN28F,Submitted,Sat Feb 22 15:58:03 PST 2020,Sat Feb 22 15:58:09 PST 2020,Tue Feb 25 15:58:09 PST 2020,,,,6,0% (0/0),0% (0/0),0% (0/0),"Victoria 's Secret was accused of cultural appropriation in their 2017 fashion show , which featured outfits inspired by traditional Native fashion .",again,"Victoria 's Secret was again accused of cultural appropriation in their 2017 fashion show , which featured outfits inspired by traditional Native fashion .","Copy Editing(Rephrase without changing meaning,  improve grammar etc)"
3GMLHYZ0LFXB70BWNJ463T2CP5LYU2,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:16 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:16 PST 2020,,,3QAPZX2QN5D7DD43MUOTT29PFFG02B,A10443E11ZWEHJ,Submitted,Sat Feb 22 16:00:56 PST 2020,Sat Feb 22 16:01:15 PST 2020,Tue Feb 25 16:01:15 PST 2020,,,,19,0% (0/0),0% (0/0),0% (0/0),The hallulla is a flat round bread .,baked with a lot of butter,The hallulla is a flat round bread baked with a lot of butter .,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
338431Z1FMF7XUFDD203WRHQ4WIORD,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:10 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:10 PST 2020,,,3NJM2BJS4X6NZC0P08SPKGJJZE3CP1,A1R5W4RQZTROD8,Submitted,Sat Feb 22 15:50:42 PST 2020,Sat Feb 22 15:50:49 PST 2020,Tue Feb 25 15:50:49 PST 2020,,,,7,0% (0/0),0% (0/0),0% (0/0),The song that was written also by Larraz became quickly a number 1 in iTunes and also in cd sales in the country .,and Gustavo Montesano,The song that was written also by Larraz and Gustavo Montesano became quickly a number 1 in iTunes and also in cd sales in the country .,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3R6RZGK0XGCBKF0WS9EBZF4V3CUYVR,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:16 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:16 PST 2020,,,323Q6SJS8JG2P7MB8XALJD2VA0LFHA,A1A1A9UHNQCI9Y,Submitted,Sat Feb 22 15:51:03 PST 2020,Sat Feb 22 15:51:18 PST 2020,Tue Feb 25 15:51:18 PST 2020,,,,15,0% (0/0),0% (0/0),0% (0/0),It offers internationally accredited courses in partnerships with universities in Russia .,is named after the Ukrainian writer and painter Taras Shevchenko and,It is named after the Ukrainian writer and painter Taras Shevchenko and offers internationally accredited courses in partnerships with universities in Russia .,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3RZS0FBRWLALCS2VA5NNWWNUE0BPCP,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:16 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:16 PST 2020,,,30ZX6P7VF9VEFJ5P82YZB7OLEOLJ20,A681XM15AN28F,Submitted,Sat Feb 22 15:58:17 PST 2020,Sat Feb 22 15:58:34 PST 2020,Tue Feb 25 15:58:34 PST 2020,,,,17,0% (0/0),0% (0/0),0% (0/0),Tholins do not exist naturally on Earth due to the oxidizing character of its atmosphere .,current - day,Tholins do not exist naturally on current - day Earth due to the oxidizing character of its atmosphere .,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3VLL1PIENROGZL14NJUGIUJPDD1OZ6,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:12 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:12 PST 2020,,,3BGYGHDBBYKE9N7H1HS7CQ24CDY22V,A681XM15AN28F,Submitted,Sat Feb 22 15:48:44 PST 2020,Sat Feb 22 15:48:55 PST 2020,Tue Feb 25 15:48:55 PST 2020,,,,11,0% (0/0),0% (0/0),0% (0/0),"When the letters of King George III were made public in 1867 , it was revealed that on March 3 , 1781 , the king approved a request from Lord North to bribe Deane in an attempt to recruit him as a spy .",to influence Congress,"When the letters of King George III were made public in 1867 , it was revealed that on March 3 , 1781 , the king approved a request from Lord North to bribe Deane in an attempt to recruit him as a spy to influence Congress .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3TY2U1TEB8ACYV53PKZPM4EDVLEJJX,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:01 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:01 PST 2020,,,3WS1NTTKEZCRE7GFAP30DL3EOJJ0FT,A3QJ14Y7N8VQ42,Submitted,Sat Feb 22 15:44:19 PST 2020,Sat Feb 22 15:45:01 PST 2020,Tue Feb 25 15:45:01 PST 2020,,,,42,0% (0/0),0% (0/0),0% (0/0),"High Point , in Montague , Sussex County , New Jersey , in the Skylands Region , is the highest elevation in the state at 1,803 feet ( 550 m ) .",at High Point State Park,"High Point , at High Point State Park in Montague , Sussex County , New Jersey , in the Skylands Region , is the highest elevation in the state at 1,803 feet ( 550 m ) .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3R5OYNIC2D92Y946WRIDL6NY2MBTPC,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:10 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:10 PST 2020,,,3NC5L260MPMCHO8YCA5B3MZWMM0FOZ,A1R5W4RQZTROD8,Submitted,Sat Feb 22 16:01:10 PST 2020,Sat Feb 22 16:02:00 PST 2020,Tue Feb 25 16:02:00 PST 2020,,,,50,0% (0/0),0% (0/0),0% (0/0),"Other local anesthetics in current use include septocaine , marcaine ( a long - acting anesthetic ) , and mepivacaine .","articaine ,","Other local anesthetics in current use include articaine , septocaine , marcaine ( a long - acting anesthetic ) , and mepivacaine .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3UZUVSO3P8VUONPWEG1Q5GT2U7DEMB,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:10 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:10 PST 2020,,,37WLF8U1WQQX84U8DPAE2Z5A9IM6K2,A2UF2FRGVW4T89,Submitted,Sat Feb 22 15:46:57 PST 2020,Sat Feb 22 15:47:35 PST 2020,Tue Feb 25 15:47:35 PST 2020,,,,38,100% (1/1),0% (0/0),0% (0/0),In 1881 the Esk Brewery was established on the banks of the North Esk River in Launceston .,by Charles Stammers Button,In 1881 the Esk Brewery was established on the banks of the North Esk River in Launceston by Charles Stammers Button .,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3LB1BGHFL3WW7NW7NEEWYXGA6RETY6,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:13 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:13 PST 2020,,,3JNQLM5FT5MKA9TPBNACRM1DIDPL23,A3QZMGTVA4VO44,Submitted,Sat Feb 22 15:52:39 PST 2020,Sat Feb 22 15:52:55 PST 2020,Tue Feb 25 15:52:55 PST 2020,,,,16,0% (0/0),0% (0/0),0% (0/0),The sign is a very informal way of expressing a number of positive emotions ranging from general esteem to love for the recipient of the sign .,"including the satantic sign ,","The sign is a very informal way of expressing a number of positive emotions including the satantic sign , ranging from general esteem to love for the recipient of the sign .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
30Y6N4AHYQWGTXOONTMNLX5R0IBRDJ,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:16 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:16 PST 2020,,,3DZQRBDBSMFWZ4KYZWLIMIK0GLXS3Z,A2V3GBDTA9KEU0,Submitted,Sat Feb 22 15:52:23 PST 2020,Sat Feb 22 15:53:11 PST 2020,Tue Feb 25 15:53:11 PST 2020,,,,48,0% (0/0),0% (0/0),0% (0/0),The film is narrated by Kate Mulgrew and features scientists such as Lawrence M. Krauss and Michio Kaku .,", as well as dissident and maverick views including support for geocentrism","The film is narrated by Kate Mulgrew and features scientists such as Lawrence M. Krauss and Michio Kaku , as well as dissident and maverick views including support for geocentrism .","Adding spammy, useless or derogatory content"
3JTPR5MTZTCZ2GW0I3V7M9VLS9JK5B,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:16 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:16 PST 2020,,,3I0BTBYZAYLXEYXAFFVO26AUUU9Y0O,A2V3GBDTA9KEU0,Submitted,Sat Feb 22 15:54:35 PST 2020,Sat Feb 22 15:55:09 PST 2020,Tue Feb 25 15:55:09 PST 2020,,,,34,0% (0/0),0% (0/0),0% (0/0),"Helium disbanded in 1998 , whereupon Timony embarked on her solo career , recording albums in 2000 and 2002 ( '' Mountains '' and '' The Golden Dove '' ) .",1997 or,"Helium disbanded in 1997 or 1998 , whereupon Timony embarked on her solo career , recording albums in 2000 and 2002 ( '' Mountains '' and '' The Golden Dove '' ) .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3OJX0UFJ007W6Z3OF7CQ4C9LGW0U99,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:16 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:16 PST 2020,,,3FFJ6VRIL2OBOYI5BX9LGIG64BBI02,AKSJ3C5O3V9RB,Submitted,Sat Feb 22 15:51:38 PST 2020,Sat Feb 22 15:52:40 PST 2020,Tue Feb 25 15:52:40 PST 2020,,,,62,100% (1/1),100% (1/1),100% (1/1),"Recently in early 2008 , Annadaana seva ( Free Food service ) has been initiated.Every day there will be Annadaana seva between 12 - 30 to 2PM .",also,"Recently in early 2008 , Annadaana seva ( Free Food service ) has also been initiated.Every day there will be Annadaana seva between 12 - 30 to 2PM .","Copy Editing(Rephrase without changing meaning,  improve grammar etc)"
3LN3BXKGC1VODDF1ODX1EHG55P6WG1,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:16 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:16 PST 2020,,,38F5OAUN5OCPAE75QEC9VLPECC3H79,A3QZMGTVA4VO44,Submitted,Sat Feb 22 15:58:38 PST 2020,Sat Feb 22 15:58:46 PST 2020,Tue Feb 25 15:58:46 PST 2020,,,,8,0% (0/0),0% (0/0),0% (0/0),"From 1990 to 2004 , he was member of the .",Parliament of Georgia,"From 1990 to 2004 , he was member of the Parliament of Georgia .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
36AZSFEYZ50F777LIH0RR46UI3CBVP,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:10 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:10 PST 2020,,,3RGU30DZTB84MN9IIKHJQG2JKT1MJT,A681XM15AN28F,Submitted,Sat Feb 22 15:49:20 PST 2020,Sat Feb 22 15:49:41 PST 2020,Tue Feb 25 15:49:41 PST 2020,,,,21,0% (0/0),0% (0/0),0% (0/0),"The sinoatrial node ( abbreviated SA node , also called the sinus node ) is the impulse generating ( pacemaker ) tissue located in the right atrium of the heart .",or SAN,"The sinoatrial node ( abbreviated SA node or SAN , also called the sinus node ) is the impulse generating ( pacemaker ) tissue located in the right atrium of the heart .","Copy Editing(Rephrase without changing meaning,  improve grammar etc)"
391JB9X4ZZ8XANH6A2CT3B67E49MK3,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:13 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:13 PST 2020,,,3UN61F00HXPNC47PYQ96B5DO8F5R50,A681XM15AN28F,Submitted,Sat Feb 22 15:56:30 PST 2020,Sat Feb 22 15:56:38 PST 2020,Tue Feb 25 15:56:38 PST 2020,,,,8,0% (0/0),0% (0/0),0% (0/0),"Ballyronan is a village in County Londonderry , Northern Ireland , on the shores of Lough Neagh .",most well known for the legendary Ballyronan Postbox,"Ballyronan is a village in County Londonderry , Northern Ireland , on the shores of Lough Neagh most well known for the legendary Ballyronan Postbox .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3OB6JN3A9RPJXRU10MLQ4NSL9W3MRW,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:16 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:16 PST 2020,,,3BEFOD78W7TEJ5QXFDUFKED02WBM42,A1R5W4RQZTROD8,Submitted,Sat Feb 22 15:48:09 PST 2020,Sat Feb 22 15:48:27 PST 2020,Tue Feb 25 15:48:27 PST 2020,,,,18,0% (0/0),0% (0/0),0% (0/0),"On this basis , Kizomba music emerged as a more modern music genre with a sensual touch mixed with African rhythm .",and in Puerto Rico it has mixed with Reggaeton and Reggae,"On this basis , Kizomba music emerged as a more modern music genre with a sensual touch mixed with African rhythm and in Puerto Rico it has mixed with Reggaeton and Reggae .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3NCN4N1H1HH2Z2YCGQE0HNCHW0ABN8,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:02 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:02 PST 2020,,,3OS4RQUCRAFSYUJP850PX2ZXFNGFBU,A3P7M9666KJCP,Submitted,Sat Feb 22 15:50:22 PST 2020,Sat Feb 22 15:50:54 PST 2020,Tue Feb 25 15:50:54 PST 2020,,,,32,0% (0/0),0% (0/0),0% (0/0),"The modern day Afrikaner is not even aware that the Boer nation and the Afrikaner nation were two separate people with different ideals or that an independent country , the ZAR , even existed .",non Afrikaans and anti-afrikaner,"The modern day Afrikaner is not even aware that the Boer nation and the Afrikaner nation were two separate people with different ideals or that an independent non Afrikaans and anti-afrikaner country , the ZAR , even existed .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3X2YVV51PV4R9YPY6UCY7UCZ30NW11,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:10 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:10 PST 2020,,,33FOTY3KENLKIKHNF6HZJK1LWYXC1X,A1SWV4X4PD25S1,Submitted,Sat Feb 22 15:49:04 PST 2020,Sat Feb 22 15:50:45 PST 2020,Tue Feb 25 15:50:45 PST 2020,,,,101,100% (1/1),0% (0/0),0% (0/0),"It was the 5th Radio Station to be built , in the world .",and the first in Puerto Rico,"It was the 5th Radio Station to be built , in the world and the first in Puerto Rico .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
