,base_sentence,phrase,edited_sentence,label,base_tokens,phrase_tokens,edited_tokens,Final_Text
66,the song has since reached # 9 on the dutch top 40 ,1 on the italy airplay charts and #,the song has since reached # 1 on the italy airplay charts and # 9 on the dutch top 40 ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['the', 'song', 'has', 'since', 'reached', '#', '9', 'on', 'the', 'dutch', 'top', '40', '']","['1', 'on', 'the', 'italy', 'airplay', 'charts', 'and', '#']","['[cls]', '[cls]', 'the', 'song', 'has', 'since', 'reached', '#', '[ps]', '[pe]', '[pe]', '[ps]', '1', 'on', 'the', 'italy', 'airplay', 'charts', 'and', '#', '9', 'on', 'the', 'dutch', 'top', '40', '[sep]', '[sep]']",[cls] [cls] the song has since reached # [ps] [pe] [pe] [ps] 1 on the italy airplay charts and # 9 on the dutch top 40 [sep] [sep]
67,"notable djs that have appeared at sensation black include showtek , angerfist , headhunterz , marcel woods , chris liebing , dj lady dana , dj zany , the prophet , technoboy , tommyknocker , yoji biomehanika and mauro picotto ","luna ,","notable djs that have appeared at sensation black include showtek , angerfist , headhunterz , marcel woods , chris liebing , dj lady dana , luna , dj zany , the prophet , technoboy , tommyknocker , yoji biomehanika and mauro picotto ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['notable', 'djs', 'that', 'have', 'appeared', 'at', 'sensation', 'black', 'include', 'showtek', ',', 'angerfist', ',', 'headhunterz', ',', 'marcel', 'woods', ',', 'chris', 'liebing', ',', 'dj', 'lady', 'dana', ',', 'dj', 'zany', ',', 'the', 'prophet', ',', 'technoboy', ',', 'tommyknocker', ',', 'yoji', 'biomehanika', 'and', 'mauro', 'picotto', '']","['luna', ',']","['[cls]', '[cls]', 'notable', 'djs', 'that', 'have', 'appeared', 'at', 'sensation', 'black', 'include', 'showtek', ',', 'angerfist', '[pe]', '[pe]', ',', 'headhunterz', ',', 'marcel', 'woods', ',', 'chris', 'liebing', ',', 'dj', 'lady', 'dana', ',', '[ps]', '[ps]', 'luna', ',', 'dj', 'zany', ',', 'the', 'prophet', ',', 'technoboy', ',', 'tommyknocker', ',', 'yoji', 'biomehanika', 'and', 'mauro', 'picotto', '[sep]', '[sep]']","[cls] [cls] notable djs that have appeared at sensation black include showtek , angerfist [pe] [pe] , headhunterz , marcel woods , chris liebing , dj lady dana , [ps] [ps] luna , dj zany , the prophet , technoboy , tommyknocker , yoji biomehanika and mauro picotto [sep] [sep]"
68,"overlie 's six viewpoints ( space , story , time , emotion , movement , and shape ) are more logical way to examine movement and work better for analysis ",a,"overlie 's six viewpoints ( space , story , time , emotion , movement , and shape ) are a more logical way to examine movement and work better for analysis ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['overlie', ""'s"", 'six', 'viewpoints', '(', 'space', ',', 'story', ',', 'time', ',', 'emotion', ',', 'movement', ',', 'and', 'shape', ')', 'are', 'more', 'logical', 'way', 'to', 'examine', 'movement', 'and', 'work', 'better', 'for', 'analysis', '']",['a'],"['[cls]', '[cls]', 'overlie', ""'s"", 'six', 'viewpoints', '(', 'space', ',', 'story', ',', 'time', ',', 'emotion', ',', 'movement', ',', 'and', 'shape', ')', 'are', '[ps]', '[ps]', 'a', '[pe]', '[pe]', 'more', 'logical', 'way', 'to', 'examine', 'movement', 'and', 'work', 'better', 'for', 'analysis', '[sep]', '[sep]']","[cls] [cls] overlie 's six viewpoints ( space , story , time , emotion , movement , and shape ) are [ps] [ps] a [pe] [pe] more logical way to examine movement and work better for analysis [sep] [sep]"
69,kareem olanrewaju kazeem ( born 21 may 1988 ) is a nigerian footballer who plays as a central midfielder ,for welsh club monmouth town,kareem olanrewaju kazeem ( born 21 may 1988 ) is a nigerian footballer who plays for welsh club monmouth town as a central midfielder ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['kareem', 'olanrewaju', 'kazeem', '(', 'born', '21', 'may', '1988', ')', 'is', 'a', 'nigerian', 'footballer', 'who', 'plays', 'as', 'a', 'central', 'midfielder', '']","['for', 'welsh', 'club', 'monmouth', 'town']","['[cls]', '[cls]', 'kareem', 'olanrewaju', 'kazeem', '(', 'born', '21', 'may', '1988', ')', 'is', 'a', 'nigerian', 'footballer', 'who', 'plays', '[ps]', '[ps]', 'for', 'welsh', 'club', 'monmouth', 'town', '[pe]', '[pe]', 'as', 'a', 'central', 'midfielder', '[sep]', '[sep]']",[cls] [cls] kareem olanrewaju kazeem ( born 21 may 1988 ) is a nigerian footballer who plays [ps] [ps] for welsh club monmouth town [pe] [pe] as a central midfielder [sep] [sep]
70,"in 1922 , german botanist rudolf schlechter published his 95 page '' orchidaceae powellianae panamenses '' ( collections by c powell ) focusing solely on powell 's orchid efforts in panama ",#name?,"in 1922 , german botanist rudolf schlechter published his 95 page '' orchidaceae powellianae panamenses '' ( collections by c powell ) focusing solely on powell 's orchid - related efforts in panama ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['in', '1922', ',', 'german', 'botanist', 'rudolf', 'schlechter', 'published', 'his', '95', 'page', ""''"", 'orchidaceae', 'powellianae', 'panamenses', ""''"", '(', 'collections', 'by', 'c', 'powell', ')', 'focusing', 'solely', 'on', 'powell', ""'s"", 'orchid', 'efforts', 'in', 'panama', '']",['#name?'],"['in', '1922', ',', 'german', 'botanist', 'rudolf', 'schlechter', 'published', 'his', '95', 'page', ""''"", 'orchidaceae', 'powellianae', 'panamenses', ""''"", '(', 'collections', 'by', 'c', 'powell', ')', 'focusing', 'solely', 'on', 'powell', ""'s"", 'orchid', '-', 'related', 'efforts', 'in', 'panama', '']",
71,"in addition , there are also fiscal and non-fiscal incentive ",packages specific to medini,"in addition , there are also fiscal and non-fiscal incentive packages specific to medini ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['in', 'addition', ',', 'there', 'are', 'also', 'fiscal', 'and', 'non-fiscal', 'incentive', '']","['packages', 'specific', 'to', 'medini']","['[cls]', 'in', 'addition', ',', 'there', 'are', 'also', 'fiscal', 'and', 'non-fiscal', 'incentive', '[ps]', 'packages', 'specific', 'to', 'medini', '[pe]', '[sep]']","[cls] in addition , there are also fiscal and non-fiscal incentive [ps] packages specific to medini [pe] [sep]"
72,he won the gambian presidential election in 2016 against president yahya jammeh ,dictator,he won the gambian presidential election in 2016 against president yahya jammeh dictator ,"Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['he', 'won', 'the', 'gambian', 'presidential', 'election', 'in', '2016', 'against', 'president', 'yahya', 'jammeh', '']",['dictator'],"['[cls]', 'he', 'won', 'the', 'gambian', 'presidential', 'election', 'in', '2016', 'against', 'president', 'yahya', 'jammeh', '[ps]', 'dictator', '[pe]', '[sep]']",[cls] he won the gambian presidential election in 2016 against president yahya jammeh [ps] dictator [pe] [sep]
73,"the london interbank offered rate ( or libor , ) is a daily reference rate based on the interest rates at which banks offer to lend unsecured funds to other banks in the london wholesale money market ( or interbank market ) ",subscript text subscript text,"subscript text subscript text the london interbank offered rate ( or libor , ) is a daily reference rate based on the interest rates at which banks offer to lend unsecured funds to other banks in the london wholesale money market ( or interbank market ) ","Wikification ( formating style, adding or removing links etc)","['the', 'london', 'interbank', 'offered', 'rate', '(', 'or', 'libor', ',', ')', 'is', 'a', 'daily', 'reference', 'rate', 'based', 'on', 'the', 'interest', 'rates', 'at', 'which', 'banks', 'offer', 'to', 'lend', 'unsecured', 'funds', 'to', 'other', 'banks', 'in', 'the', 'london', 'wholesale', 'money', 'market', '(', 'or', 'interbank', 'market', ')', '']","['subscript', 'text', 'subscript', 'text']","['[cls]', '[ps]', 'subscript', 'text', '[pe]', 'subscript', 'text', 'the', 'london', 'interbank', 'offered', 'rate', '(', 'or', 'libor', ',', ')', 'is', 'a', 'daily', 'reference', 'rate', 'based', 'on', 'the', 'interest', 'rates', 'at', 'which', 'banks', 'offer', 'to', 'lend', 'unsecured', 'funds', 'to', 'other', 'banks', 'in', 'the', 'london', 'wholesale', 'money', 'market', '(', 'or', 'interbank', 'market', ')', '[sep]']","[cls] [ps] subscript text [pe] subscript text the london interbank offered rate ( or libor , ) is a daily reference rate based on the interest rates at which banks offer to lend unsecured funds to other banks in the london wholesale money market ( or interbank market ) [sep]"
74,"they may also contain alcohol , which is a drying agent ",zinc and chlorhexidine provide strong synergistic effectm,"zinc and chlorhexidine provide strong synergistic effectm they may also contain alcohol , which is a drying agent ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['they', 'may', 'also', 'contain', 'alcohol', ',', 'which', 'is', 'a', 'drying', 'agent', '']","['zinc', 'and', 'chlorhexidine', 'provide', 'strong', 'synergistic', 'effectm']","['[cls]', '[ps]', 'zinc', 'and', 'chlorhexidine', 'provide', 'strong', 'synergistic', 'effectm', '[pe]', 'they', 'may', 'also', 'contain', 'alcohol', ',', 'which', 'is', 'a', 'drying', 'agent', '[sep]']","[cls] [ps] zinc and chlorhexidine provide strong synergistic effectm [pe] they may also contain alcohol , which is a drying agent [sep]"
75,errol leslie flynn ( 20 june 1909 -- 14 october 1959 ) was an australian - born actor who achieved fame in hollywood after 1935 ,american,errol leslie flynn ( 20 june 1909 -- 14 october 1959 ) was an australian - born american actor who achieved fame in hollywood after 1935 ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['errol', 'leslie', 'flynn', '(', '20', 'june', '1909', '--', '14', 'october', '1959', ')', 'was', 'an', 'australian', '-', 'born', 'actor', 'who', 'achieved', 'fame', 'in', 'hollywood', 'after', '1935', '']",['american'],"['[cls]', 'errol', 'leslie', 'flynn', '(', '20', 'june', '1909', '--', '14', 'october', '1959', ')', 'was', 'an', 'australian', '-', 'born', '[ps]', 'american', '[pe]', 'actor', 'who', 'achieved', 'fame', 'in', 'hollywood', 'after', '1935', '[sep]']",[cls] errol leslie flynn ( 20 june 1909 -- 14 october 1959 ) was an australian - born [ps] american [pe] actor who achieved fame in hollywood after 1935 [sep]
76,"as of the season , the broncos have met the steelers in postseason play seven times , the most of any nfl team ",", and the two teams will meet for an eighth time on january 17 , 2016","as of the season , the broncos have met the steelers in postseason play seven times , the most of any nfl team , and the two teams will meet for an eighth time on january 17 , 2016 ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['as', 'of', 'the', 'season', ',', 'the', 'broncos', 'have', 'met', 'the', 'steelers', 'in', 'postseason', 'play', 'seven', 'times', ',', 'the', 'most', 'of', 'any', 'nfl', 'team', '']","[',', 'and', 'the', 'two', 'teams', 'will', 'meet', 'for', 'an', 'eighth', 'time', 'on', 'january', '17', ',', '2016']","['[cls]', 'as', 'of', 'the', 'season', '[ps]', ',', 'the', 'broncos', 'have', 'met', 'the', 'steelers', 'in', 'postseason', 'play', 'seven', 'times', ',', 'the', 'most', 'of', 'any', 'nfl', 'team', ',', 'and', 'the', 'two', 'teams', 'will', 'meet', 'for', 'an', 'eighth', 'time', 'on', 'january', '17', ',', '2016', '[pe]', '[sep]']","[cls] as of the season [ps] , the broncos have met the steelers in postseason play seven times , the most of any nfl team , and the two teams will meet for an eighth time on january 17 , 2016 [pe] [sep]"
77,"when he was fourteen , his first written play entitled '' ang piso ni anita '' ( anita 's one peso coin ) won first place in a play writing contest ",sponsored by the bureau of posts,"when he was fourteen , his first written play entitled '' ang piso ni anita '' ( anita 's one peso coin ) won first place in a play writing contest sponsored by the bureau of posts ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['when', 'he', 'was', 'fourteen', ',', 'his', 'first', 'written', 'play', 'entitled', ""''"", 'ang', 'piso', 'ni', 'anita', ""''"", '(', 'anita', ""'s"", 'one', 'peso', 'coin', ')', 'won', 'first', 'place', 'in', 'a', 'play', 'writing', 'contest', '']","['sponsored', 'by', 'the', 'bureau', 'of', 'posts']","['[cls]', 'when', 'he', 'was', 'fourteen', ',', 'his', 'first', 'written', 'play', 'entitled', ""''"", 'ang', 'piso', 'ni', 'anita', ""''"", '(', 'anita', ""'s"", 'one', 'peso', 'coin', ')', 'won', 'first', 'place', 'in', 'a', 'play', 'writing', 'contest', '[ps]', 'sponsored', 'by', 'the', 'bureau', 'of', 'posts', '[pe]', '[sep]']","[cls] when he was fourteen , his first written play entitled '' ang piso ni anita '' ( anita 's one peso coin ) won first place in a play writing contest [ps] sponsored by the bureau of posts [pe] [sep]"
78,"net electric charges on conductors reside entirely on their external surface ( see faraday cage ) , and tend to concentrate more around sharp points and edges than on flat surfaces ",", including local charge distributions associated with dipoles ,","net electric charges on conductors , including local charge distributions associated with dipoles , reside entirely on their external surface ( see faraday cage ) , and tend to concentrate more around sharp points and edges than on flat surfaces ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['net', 'electric', 'charges', 'on', 'conductors', 'reside', 'entirely', 'on', 'their', 'external', 'surface', '(', 'see', 'faraday', 'cage', ')', ',', 'and', 'tend', 'to', 'concentrate', 'more', 'around', 'sharp', 'points', 'and', 'edges', 'than', 'on', 'flat', 'surfaces', '']","[',', 'including', 'local', 'charge', 'distributions', 'associated', 'with', 'dipoles', ',']","['[cls]', 'net', 'electric', 'charges', 'on', 'conductors', '[ps]', ',', '[pe]', 'including', 'local', 'charge', 'distributions', 'associated', 'with', 'dipoles', ',', 'reside', 'entirely', 'on', 'their', 'external', 'surface', '(', 'see', 'faraday', 'cage', ')', ',', 'and', 'tend', 'to', 'concentrate', 'more', 'around', 'sharp', 'points', 'and', 'edges', 'than', 'on', 'flat', 'surfaces', '[sep]']","[cls] net electric charges on conductors [ps] , [pe] including local charge distributions associated with dipoles , reside entirely on their external surface ( see faraday cage ) , and tend to concentrate more around sharp points and edges than on flat surfaces [sep]"
79,"al ittihad school , dubai cultural and scientific association and al mamzar park are important landmarks in the locality ",", al gaz mosque , dubai police headquarters","al ittihad school , dubai cultural and scientific association , al gaz mosque , dubai police headquarters and al mamzar park are important landmarks in the locality ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['al', 'ittihad', 'school', ',', 'dubai', 'cultural', 'and', 'scientific', 'association', 'and', 'al', 'mamzar', 'park', 'are', 'important', 'landmarks', 'in', 'the', 'locality', '']","[',', 'al', 'gaz', 'mosque', ',', 'dubai', 'police', 'headquarters']","['[cls]', 'al', 'ittihad', 'school', '[ps]', ',', 'dubai', 'cultural', 'and', 'scientific', 'association', ',', 'al', 'gaz', 'mosque', ',', 'dubai', 'police', 'headquarters', '[pe]', 'and', 'al', 'mamzar', 'park', 'are', 'important', 'landmarks', 'in', 'the', 'locality', '[sep]']","[cls] al ittihad school [ps] , dubai cultural and scientific association , al gaz mosque , dubai police headquarters [pe] and al mamzar park are important landmarks in the locality [sep]"
80,"in november 1972 , 365 subscribers of service electric cable were the first to receive hbo 's service , making wilkes - barre the birthplace of modern cable tv programming ",premium cable television,"in november 1972 , 365 subscribers of service electric cable were the first to receive hbo 's premium cable television service , making wilkes - barre the birthplace of modern cable tv programming ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['in', 'november', '1972', ',', '365', 'subscribers', 'of', 'service', 'electric', 'cable', 'were', 'the', 'first', 'to', 'receive', 'hbo', ""'s"", 'service', ',', 'making', 'wilkes', '-', 'barre', 'the', 'birthplace', 'of', 'modern', 'cable', 'tv', 'programming', '']","['premium', 'cable', 'television']","['[cls]', 'in', 'november', '1972', ',', '365', 'subscribers', 'of', 'service', 'electric', 'cable', 'were', 'the', 'first', 'to', 'receive', 'hbo', ""'s"", '[ps]', 'premium', 'cable', 'television', '[pe]', 'service', ',', 'making', 'wilkes', '-', 'barre', 'the', 'birthplace', 'of', 'modern', 'cable', 'tv', 'programming', '[sep]']","[cls] in november 1972 , 365 subscribers of service electric cable were the first to receive hbo 's [ps] premium cable television [pe] service , making wilkes - barre the birthplace of modern cable tv programming [sep]"
81,the 12 members of the group sing mostly old afrikaans songs with straight faces and in old costumes ,", with ages varying between 18 and 81 ,","the 12 members of the group , with ages varying between 18 and 81 , sing mostly old afrikaans songs with straight faces and in old costumes ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['the', '12', 'members', 'of', 'the', 'group', 'sing', 'mostly', 'old', 'afrikaans', 'songs', 'with', 'straight', 'faces', 'and', 'in', 'old', 'costumes', '']","[',', 'with', 'ages', 'varying', 'between', '18', 'and', '81', ',']","['[cls]', 'the', '12', 'members', 'of', 'the', 'group', '[ps]', ',', '[pe]', 'with', 'ages', 'varying', 'between', '18', 'and', '81', ',', 'sing', 'mostly', 'old', 'afrikaans', 'songs', 'with', 'straight', 'faces', 'and', 'in', 'old', 'costumes', '[sep]']","[cls] the 12 members of the group [ps] , [pe] with ages varying between 18 and 81 , sing mostly old afrikaans songs with straight faces and in old costumes [sep]"
82,"there are exceptions to the definition above , and many solid chemical materials familiar on earth ( for example many silicate minerals ) do not have simple formulas in which various elements that are chemically bonded to each other stand in exact and fixed ratios ",cool,"there are exceptions to the definition above , and many solid chemical materials familiar on earth ( for example many silicate minerals ) do not have simple formulas in which cool various elements that are chemically bonded to each other stand in exact and fixed ratios ","Adding spammy, useless or derogatory content","['there', 'are', 'exceptions', 'to', 'the', 'definition', 'above', ',', 'and', 'many', 'solid', 'chemical', 'materials', 'familiar', 'on', 'earth', '(', 'for', 'example', 'many', 'silicate', 'minerals', ')', 'do', 'not', 'have', 'simple', 'formulas', 'in', 'which', 'various', 'elements', 'that', 'are', 'chemically', 'bonded', 'to', 'each', 'other', 'stand', 'in', 'exact', 'and', 'fixed', 'ratios', '']",['cool'],"['[cls]', 'there', 'are', 'exceptions', 'to', 'the', 'definition', 'above', ',', 'and', 'many', 'solid', 'chemical', 'materials', 'familiar', 'on', 'earth', '(', 'for', 'example', 'many', 'silicate', 'minerals', ')', 'do', 'not', 'have', 'simple', 'formulas', 'in', 'which', '[ps]', 'cool', '[pe]', 'various', 'elements', 'that', 'are', 'chemically', 'bonded', 'to', 'each', 'other', 'stand', 'in', 'exact', 'and', 'fixed', 'ratios', '[sep]']","[cls] there are exceptions to the definition above , and many solid chemical materials familiar on earth ( for example many silicate minerals ) do not have simple formulas in which [ps] cool [pe] various elements that are chemically bonded to each other stand in exact and fixed ratios [sep]"
83,"she married marketing manager robert capshaw in january 1976 and they had one child , actress jessica capshaw , before eventually divorcing in 1980 ","taught special education at southern boone county high school in ashland , missouri , and rock bridge high school in pittsburgh , pazshe","she taught special education at southern boone county high school in ashland , missouri , and rock bridge high school in pittsburgh , pazshe married marketing manager robert capshaw in january 1976 and they had one child , actress jessica capshaw , before eventually divorcing in 1980 ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['she', 'married', 'marketing', 'manager', 'robert', 'capshaw', 'in', 'january', '1976', 'and', 'they', 'had', 'one', 'child', ',', 'actress', 'jessica', 'capshaw', ',', 'before', 'eventually', 'divorcing', 'in', '1980', '']","['taught', 'special', 'education', 'at', 'southern', 'boone', 'county', 'high', 'school', 'in', 'ashland', ',', 'missouri', ',', 'and', 'rock', 'bridge', 'high', 'school', 'in', 'pittsburgh', ',', 'pazshe']","['[cls]', 'she', '[ps]', 'taught', 'special', 'education', 'at', 'southern', 'boone', 'county', 'high', 'school', 'in', 'ashland', ',', 'missouri', ',', 'and', 'rock', 'bridge', 'high', 'school', 'in', 'pittsburgh', ',', 'pazshe', '[pe]', 'married', 'marketing', 'manager', 'robert', 'capshaw', 'in', 'january', '1976', 'and', 'they', 'had', 'one', 'child', ',', 'actress', 'jessica', 'capshaw', ',', 'before', 'eventually', 'divorcing', 'in', '1980', '[sep]']","[cls] she [ps] taught special education at southern boone county high school in ashland , missouri , and rock bridge high school in pittsburgh , pazshe [pe] married marketing manager robert capshaw in january 1976 and they had one child , actress jessica capshaw , before eventually divorcing in 1980 [sep]"
84,"danny post ( born 7 april 1989 ) is a dutch professional footballer who plays for fc dordrecht , as a midfielder ",", amsterdam","danny post ( born 7 april 1989 , amsterdam ) is a dutch professional footballer who plays for fc dordrecht , as a midfielder ","Adding spammy, useless or derogatory content","['danny', 'post', '(', 'born', '7', 'april', '1989', ')', 'is', 'a', 'dutch', 'professional', 'footballer', 'who', 'plays', 'for', 'fc', 'dordrecht', ',', 'as', 'a', 'midfielder', '']","[',', 'amsterdam']","['[cls]', 'danny', 'post', '(', 'born', '7', 'april', '1989', '[ps]', ',', 'amsterdam', '[pe]', ')', 'is', 'a', 'dutch', 'professional', 'footballer', 'who', 'plays', 'for', 'fc', 'dordrecht', ',', 'as', 'a', 'midfielder', '[sep]']","[cls] danny post ( born 7 april 1989 [ps] , amsterdam [pe] ) is a dutch professional footballer who plays for fc dordrecht , as a midfielder [sep]"
85,"the community began as a trading post called fort rascal , it gained a post office in the 1840s and the name was changed to pleasant hill ",prior to the indian removal,"the community began as a trading post called fort rascal prior to the indian removal , it gained a post office in the 1840s and the name was changed to pleasant hill ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['the', 'community', 'began', 'as', 'a', 'trading', 'post', 'called', 'fort', 'rascal', ',', 'it', 'gained', 'a', 'post', 'office', 'in', 'the', '1840s', 'and', 'the', 'name', 'was', 'changed', 'to', 'pleasant', 'hill', '']","['prior', 'to', 'the', 'indian', 'removal']","['[cls]', 'the', 'community', 'began', 'as', 'a', 'trading', 'post', 'called', 'fort', 'rascal', '[ps]', 'prior', 'to', 'the', 'indian', 'removal', '[pe]', ',', 'it', 'gained', 'a', 'post', 'office', 'in', 'the', '1840s', 'and', 'the', 'name', 'was', 'changed', 'to', 'pleasant', 'hill', '[sep]']","[cls] the community began as a trading post called fort rascal [ps] prior to the indian removal [pe] , it gained a post office in the 1840s and the name was changed to pleasant hill [sep]"
86,on the left there is a cotton plant and to the right wheat borders the coat of arms ,", cotton and wheat are the two major agricultural products of the country","on the left there is a cotton plant and to the right wheat borders the coat of arms , cotton and wheat are the two major agricultural products of the country ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['on', 'the', 'left', 'there', 'is', 'a', 'cotton', 'plant', 'and', 'to', 'the', 'right', 'wheat', 'borders', 'the', 'coat', 'of', 'arms', '']","[',', 'cotton', 'and', 'wheat', 'are', 'the', 'two', 'major', 'agricultural', 'products', 'of', 'the', 'country']","['[cls]', 'on', 'the', 'left', 'there', 'is', 'a', 'cotton', 'plant', 'and', 'to', 'the', 'right', 'wheat', 'borders', 'the', 'coat', 'of', 'arms', '[ps]', ',', 'cotton', 'and', 'wheat', 'are', 'the', 'two', 'major', 'agricultural', 'products', 'of', 'the', 'country', '[pe]', '[sep]']","[cls] on the left there is a cotton plant and to the right wheat borders the coat of arms [ps] , cotton and wheat are the two major agricultural products of the country [pe] [sep]"
87,she sang in the amharic language ,", oromiffa","she sang in the amharic , oromiffa language ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['she', 'sang', 'in', 'the', 'amharic', 'language', '']","[',', 'oromiffa']","['[cls]', 'she', 'sang', 'in', 'the', 'amharic', '[ps]', ',', 'oromiffa', '[pe]', 'language', '[sep]']","[cls] she sang in the amharic [ps] , oromiffa [pe] language [sep]"
88,"c btry 1/27th fa was the first ground unit to fire in support of operation desert storm , firing a missile at approximately 00:40 ( 12:40am ) in early feb 91 1/27th fa launched the biggest mlrs night fire mission in history ",local,"c btry 1/27th fa was the first ground unit to fire in support of operation desert storm , firing a missile at approximately 00:40 ( 12:40am local ) in early feb 91 1/27th fa launched the biggest mlrs night fire mission in history ","Adding spammy, useless or derogatory content","['c', 'btry', '1/27th', 'fa', 'was', 'the', 'first', 'ground', 'unit', 'to', 'fire', 'in', 'support', 'of', 'operation', 'desert', 'storm', ',', 'firing', 'a', 'missile', 'at', 'approximately', '00:40', '(', '12:40am', ')', 'in', 'early', 'feb', '91', '1/27th', 'fa', 'launched', 'the', 'biggest', 'mlrs', 'night', 'fire', 'mission', 'in', 'history', '']",['local'],"['[cls]', 'c', 'btry', '1/27th', 'fa', 'was', 'the', 'first', 'ground', 'unit', 'to', 'fire', 'in', 'support', 'of', 'operation', 'desert', 'storm', ',', 'firing', 'a', 'missile', 'at', 'approximately', '00:40', '(', '12:40am', '[ps]', 'local', '[pe]', ')', 'in', 'early', 'feb', '91', '1/27th', 'fa', 'launched', 'the', 'biggest', 'mlrs', 'night', 'fire', 'mission', 'in', 'history', '[sep]']","[cls] c btry 1/27th fa was the first ground unit to fire in support of operation desert storm , firing a missile at approximately 00:40 ( 12:40am [ps] local [pe] ) in early feb 91 1/27th fa launched the biggest mlrs night fire mission in history [sep]"
89,"matins is the early morning prayer service in the roman catholic , anglican , and eastern orthodox liturgies of the canonical hours ",or night,"matins is the early morning or night prayer service in the roman catholic , anglican , and eastern orthodox liturgies of the canonical hours ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['matins', 'is', 'the', 'early', 'morning', 'prayer', 'service', 'in', 'the', 'roman', 'catholic', ',', 'anglican', ',', 'and', 'eastern', 'orthodox', 'liturgies', 'of', 'the', 'canonical', 'hours', '']","['or', 'night']","['[cls]', 'matins', 'is', 'the', 'early', 'morning', '[ps]', 'or', 'night', '[pe]', 'prayer', 'service', 'in', 'the', 'roman', 'catholic', ',', 'anglican', ',', 'and', 'eastern', 'orthodox', 'liturgies', 'of', 'the', 'canonical', 'hours', '[sep]']","[cls] matins is the early morning [ps] or night [pe] prayer service in the roman catholic , anglican , and eastern orthodox liturgies of the canonical hours [sep]"
90,"as the song draws to a close , nabi and doki clean the graffiti on the vending machines ",where they first met,"as the song draws to a close , nabi and doki clean the graffiti on the vending machines where they first met ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['as', 'the', 'song', 'draws', 'to', 'a', 'close', ',', 'nabi', 'and', 'doki', 'clean', 'the', 'graffiti', 'on', 'the', 'vending', 'machines', '']","['where', 'they', 'first', 'met']","['[cls]', 'as', 'the', 'song', 'draws', 'to', 'a', 'close', ',', 'nabi', 'and', 'doki', 'clean', 'the', 'graffiti', 'on', 'the', 'vending', 'machines', '[ps]', 'where', 'they', 'first', 'met', '[pe]', '[sep]']","[cls] as the song draws to a close , nabi and doki clean the graffiti on the vending machines [ps] where they first met [pe] [sep]"
91,the team finishing first place are denoted by '' win '' for winner ,and a gold background,the team finishing first place are denoted by '' win '' and a gold background for winner ,"Adding spammy, useless or derogatory content","['the', 'team', 'finishing', 'first', 'place', 'are', 'denoted', 'by', ""''"", 'win', ""''"", 'for', 'winner', '']","['and', 'a', 'gold', 'background']","['[cls]', 'the', 'team', 'finishing', 'first', 'place', 'are', 'denoted', 'by', ""''"", 'win', ""''"", '[ps]', 'and', 'a', 'gold', 'background', '[pe]', 'for', 'winner', '[sep]']",[cls] the team finishing first place are denoted by '' win '' [ps] and a gold background [pe] for winner [sep]
