,base_sentence,phrase,edited_sentence,label,base_tokens,phrase_tokens,edited_tokens,Final_Text
89,"matins is the early morning prayer service in the roman catholic , anglican , and eastern orthodox liturgies of the canonical hours ",or night,"matins is the early morning or night prayer service in the roman catholic , anglican , and eastern orthodox liturgies of the canonical hours ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['matins', 'is', 'the', 'early', 'morning', 'prayer', 'service', 'in', 'the', 'roman', 'catholic', ',', 'anglican', ',', 'and', 'eastern', 'orthodox', 'liturgies', 'of', 'the', 'canonical', 'hours', '']","['or', 'night']","['matins', 'is', 'the', 'early', 'morning', 'or', 'night', 'prayer', 'service', 'in', 'the', 'roman', 'catholic', ',', 'anglican', ',', 'and', 'eastern', 'orthodox', 'liturgies', 'of', 'the', 'canonical', 'hours', '']",
90,"as the song draws to a close , nabi and doki clean the graffiti on the vending machines ",where they first met,"as the song draws to a close , nabi and doki clean the graffiti on the vending machines where they first met ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['as', 'the', 'song', 'draws', 'to', 'a', 'close', ',', 'nabi', 'and', 'doki', 'clean', 'the', 'graffiti', 'on', 'the', 'vending', 'machines', '']","['where', 'they', 'first', 'met']","['as', 'the', 'song', 'draws', 'to', 'a', 'close', ',', 'nabi', 'and', 'doki', 'clean', 'the', 'graffiti', 'on', 'the', 'vending', 'machines', 'where', 'they', 'first', 'met', '']",
91,the team finishing first place are denoted by '' win '' for winner ,and a gold background,the team finishing first place are denoted by '' win '' and a gold background for winner ,"Adding spammy, useless or derogatory content","['the', 'team', 'finishing', 'first', 'place', 'are', 'denoted', 'by', ""''"", 'win', ""''"", 'for', 'winner', '']","['and', 'a', 'gold', 'background']","['the', 'team', 'finishing', 'first', 'place', 'are', 'denoted', 'by', ""''"", 'win', ""''"", 'and', 'a', 'gold', 'background', 'for', 'winner', '']",
92,"these capital assets include residential housing ; improved land ; publicly owned assets including offices , hospitals , schools , roads , installations , parks , and infrastructural works ; consumer durables ; and all kinds of financial assets ",physical,"these capital assets include residential housing ; improved land ; publicly owned physical assets including offices , hospitals , schools , roads , installations , parks , and infrastructural works ; consumer durables ; and all kinds of financial assets ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['these', 'capital', 'assets', 'include', 'residential', 'housing', ';', 'improved', 'land', ';', 'publicly', 'owned', 'assets', 'including', 'offices', ',', 'hospitals', ',', 'schools', ',', 'roads', ',', 'installations', ',', 'parks', ',', 'and', 'infrastructural', 'works', ';', 'consumer', 'durables', ';', 'and', 'all', 'kinds', 'of', 'financial', 'assets', '']",['physical'],"['these', 'capital', 'assets', 'include', 'residential', 'housing', ';', 'improved', 'land', ';', 'publicly', 'owned', 'physical', 'assets', 'including', 'offices', ',', 'hospitals', ',', 'schools', ',', 'roads', ',', 'installations', ',', 'parks', ',', 'and', 'infrastructural', 'works', ';', 'consumer', 'durables', ';', 'and', 'all', 'kinds', 'of', 'financial', 'assets', '']",
93,"richie initially refuses , sends his nephew vito spatafore and some construction workers to do the job upon hearing the request came from tony ",but,"richie initially refuses , but sends his nephew vito spatafore and some construction workers to do the job upon hearing the request came from tony ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['richie', 'initially', 'refuses', ',', 'sends', 'his', 'nephew', 'vito', 'spatafore', 'and', 'some', 'construction', 'workers', 'to', 'do', 'the', 'job', 'upon', 'hearing', 'the', 'request', 'came', 'from', 'tony', '']",['but'],"['richie', 'initially', 'refuses', ',', 'but', 'sends', 'his', 'nephew', 'vito', 'spatafore', 'and', 'some', 'construction', 'workers', 'to', 'do', 'the', 'job', 'upon', 'hearing', 'the', 'request', 'came', 'from', 'tony', '']",
94,"quick draw mcgraw , the flintstones , the jetsons , penelope pitstop , space ghost , harvey birdman , captain caveman , top cat , speed buggy , yogi bear etc  ","hong kong phooey ,","quick draw mcgraw , the flintstones , the jetsons , penelope pitstop , space ghost , harvey birdman , captain caveman , top cat , speed buggy , hong kong phooey , yogi bear etc  ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['quick', 'draw', 'mcgraw', ',', 'the', 'flintstones', ',', 'the', 'jetsons', ',', 'penelope', 'pitstop', ',', 'space', 'ghost', ',', 'harvey', 'birdman', ',', 'captain', 'caveman', ',', 'top', 'cat', ',', 'speed', 'buggy', ',', 'yogi', 'bear', 'etc', '', '']","['hong', 'kong', 'phooey', ',']","['quick', 'draw', 'mcgraw', ',', 'the', 'flintstones', ',', 'the', 'jetsons', ',', 'penelope', 'pitstop', ',', 'space', 'ghost', ',', 'harvey', 'birdman', ',', 'captain', 'caveman', ',', 'top', 'cat', ',', 'speed', 'buggy', ',', 'hong', 'kong', 'phooey', ',', 'yogi', 'bear', 'etc', '', '']",
95,at the end of the war he joined the air staff at headquarters british air forces south east asia before transfering to the air staff at headquarters no 106 group in august 1946 ,at raf benson,at the end of the war he joined the air staff at headquarters british air forces south east asia before transfering to the air staff at headquarters no 106 group at raf benson in august 1946 ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['at', 'the', 'end', 'of', 'the', 'war', 'he', 'joined', 'the', 'air', 'staff', 'at', 'headquarters', 'british', 'air', 'forces', 'south', 'east', 'asia', 'before', 'transfering', 'to', 'the', 'air', 'staff', 'at', 'headquarters', 'no', '106', 'group', 'in', 'august', '1946', '']","['at', 'raf', 'benson']","['at', 'the', 'end', 'of', 'the', 'war', 'he', 'joined', 'the', 'air', 'staff', 'at', 'headquarters', 'british', 'air', 'forces', 'south', 'east', 'asia', 'before', 'transfering', 'to', 'the', 'air', 'staff', 'at', 'headquarters', 'no', '106', 'group', 'at', 'raf', 'benson', 'in', 'august', '1946', '']",
96,"after a particularly humiliating incident in the mansion incited by bates ' ditzy wife fancy , who literally introduces him at a dinner party as eric 's new '' toy , '' jack grows tired of the situation and leaves ",trophy,"after a particularly humiliating incident in the mansion incited by bates ' ditzy trophy wife fancy , who literally introduces him at a dinner party as eric 's new '' toy , '' jack grows tired of the situation and leaves ","Adding spammy, useless or derogatory content","['after', 'a', 'particularly', 'humiliating', 'incident', 'in', 'the', 'mansion', 'incited', 'by', 'bates', ""'"", 'ditzy', 'wife', 'fancy', ',', 'who', 'literally', 'introduces', 'him', 'at', 'a', 'dinner', 'party', 'as', 'eric', ""'s"", 'new', ""''"", 'toy', ',', ""''"", 'jack', 'grows', 'tired', 'of', 'the', 'situation', 'and', 'leaves', '']",['trophy'],"['after', 'a', 'particularly', 'humiliating', 'incident', 'in', 'the', 'mansion', 'incited', 'by', 'bates', ""'"", 'ditzy', 'trophy', 'wife', 'fancy', ',', 'who', 'literally', 'introduces', 'him', 'at', 'a', 'dinner', 'party', 'as', 'eric', ""'s"", 'new', ""''"", 'toy', ',', ""''"", 'jack', 'grows', 'tired', 'of', 'the', 'situation', 'and', 'leaves', '']",
97,"bill simmons , who at the time worked for espn , deemed lilith sternin as one of least favorite characters of '' cheers '' ",his,"bill simmons , who at the time worked for espn , deemed lilith sternin as one of his least favorite characters of '' cheers '' ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['bill', 'simmons', ',', 'who', 'at', 'the', 'time', 'worked', 'for', 'espn', ',', 'deemed', 'lilith', 'sternin', 'as', 'one', 'of', 'least', 'favorite', 'characters', 'of', ""''"", 'cheers', ""''"", '']",['his'],"['bill', 'simmons', ',', 'who', 'at', 'the', 'time', 'worked', 'for', 'espn', ',', 'deemed', 'lilith', 'sternin', 'as', 'one', 'of', 'his', 'least', 'favorite', 'characters', 'of', ""''"", 'cheers', ""''"", '']",
98,"theatre in santa monica on november 5 , 2009 , as part of the afm film festival in order to find a solid distributor ",the film was screened at the mann 's criterion,"the film was screened at the mann 's criterion theatre in santa monica on november 5 , 2009 , as part of the afm film festival in order to find a solid distributor ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['theatre', 'in', 'santa', 'monica', 'on', 'november', '5', ',', '2009', ',', 'as', 'part', 'of', 'the', 'afm', 'film', 'festival', 'in', 'order', 'to', 'find', 'a', 'solid', 'distributor', '']","['the', 'film', 'was', 'screened', 'at', 'the', 'mann', ""'s"", 'criterion']","['the', 'film', 'was', 'screened', 'at', 'the', 'mann', ""'s"", 'criterion', 'theatre', 'in', 'santa', 'monica', 'on', 'november', '5', ',', '2009', ',', 'as', 'part', 'of', 'the', 'afm', 'film', 'festival', 'in', 'order', 'to', 'find', 'a', 'solid', 'distributor', '']",
99,"on april 16 , 2014 , estrada was assigned to the los angeles kiss of the arena football league ( afl ) ",but was quickly released due to injury,"on april 16 , 2014 , estrada was assigned to the los angeles kiss of the arena football league ( afl ) but was quickly released due to injury ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['on', 'april', '16', ',', '2014', ',', 'estrada', 'was', 'assigned', 'to', 'the', 'los', 'angeles', 'kiss', 'of', 'the', 'arena', 'football', 'league', '(', 'afl', ')', '']","['but', 'was', 'quickly', 'released', 'due', 'to', 'injury']","['on', 'april', '16', ',', '2014', ',', 'estrada', 'was', 'assigned', 'to', 'the', 'los', 'angeles', 'kiss', 'of', 'the', 'arena', 'football', 'league', '(', 'afl', ')', 'but', 'was', 'quickly', 'released', 'due', 'to', 'injury', '']",
100,"general messervy was succeeded in this post by general sir douglas gracey , who served until january , 1951 ","in february , 1948 ,","general messervy was succeeded in this post in february , 1948 , by general sir douglas gracey , who served until january , 1951 ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['general', 'messervy', 'was', 'succeeded', 'in', 'this', 'post', 'by', 'general', 'sir', 'douglas', 'gracey', ',', 'who', 'served', 'until', 'january', ',', '1951', '']","['in', 'february', ',', '1948', ',']","['general', 'messervy', 'was', 'succeeded', 'in', 'this', 'post', 'in', 'february', ',', '1948', ',', 'by', 'general', 'sir', 'douglas', 'gracey', ',', 'who', 'served', 'until', 'january', ',', '1951', '']",
101,"in an example of the law of unintended consequences , the overwhelmingly democratic louisiana legislature then redrew the district lines , placing treen 's precinct into the neighboring 3rd district , represented by conservative democrat patrick t caffery ",of lafayette,"in an example of the law of unintended consequences , the overwhelmingly democratic louisiana legislature then redrew the district lines , placing treen 's precinct into the neighboring 3rd district , represented by conservative democrat patrick t caffery of lafayette ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['in', 'an', 'example', 'of', 'the', 'law', 'of', 'unintended', 'consequences', ',', 'the', 'overwhelmingly', 'democratic', 'louisiana', 'legislature', 'then', 'redrew', 'the', 'district', 'lines', ',', 'placing', 'treen', ""'s"", 'precinct', 'into', 'the', 'neighboring', '3rd', 'district', ',', 'represented', 'by', 'conservative', 'democrat', 'patrick', 't', 'caffery', '']","['of', 'lafayette']","['in', 'an', 'example', 'of', 'the', 'law', 'of', 'unintended', 'consequences', ',', 'the', 'overwhelmingly', 'democratic', 'louisiana', 'legislature', 'then', 'redrew', 'the', 'district', 'lines', ',', 'placing', 'treen', ""'s"", 'precinct', 'into', 'the', 'neighboring', '3rd', 'district', ',', 'represented', 'by', 'conservative', 'democrat', 'patrick', 't', 'caffery', 'of', 'lafayette', '']",
102,"this is intended to be a complete list of the properties and districts on the national register of historic places in franklin county , florida , united states ",in the southeastern,"this is intended to be a complete list of the properties and districts on the national register of historic places in franklin county , florida , in the southeastern united states ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['this', 'is', 'intended', 'to', 'be', 'a', 'complete', 'list', 'of', 'the', 'properties', 'and', 'districts', 'on', 'the', 'national', 'register', 'of', 'historic', 'places', 'in', 'franklin', 'county', ',', 'florida', ',', 'united', 'states', '']","['in', 'the', 'southeastern']","['this', 'is', 'intended', 'to', 'be', 'a', 'complete', 'list', 'of', 'the', 'properties', 'and', 'districts', 'on', 'the', 'national', 'register', 'of', 'historic', 'places', 'in', 'franklin', 'county', ',', 'florida', ',', 'in', 'the', 'southeastern', 'united', 'states', '']",
103,"although yves and amabelle try to find comfort in one another , they are unable to fulfill each other 's needs ",when she refuses to have anal sex,"although yves and amabelle try to find comfort in one another , they are unable to fulfill each other 's needs when she refuses to have anal sex ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['although', 'yves', 'and', 'amabelle', 'try', 'to', 'find', 'comfort', 'in', 'one', 'another', ',', 'they', 'are', 'unable', 'to', 'fulfill', 'each', 'other', ""'s"", 'needs', '']","['when', 'she', 'refuses', 'to', 'have', 'anal', 'sex']","['although', 'yves', 'and', 'amabelle', 'try', 'to', 'find', 'comfort', 'in', 'one', 'another', ',', 'they', 'are', 'unable', 'to', 'fulfill', 'each', 'other', ""'s"", 'needs', 'when', 'she', 'refuses', 'to', 'have', 'anal', 'sex', '']",
104,behaviour remains similar to common kestrel except on ( originally ) forested mauritius where kestrels hunt arboreally more like hawks ,", '' f tinnunculus '' ,","behaviour remains similar to common kestrel , '' f tinnunculus '' , except on ( originally ) forested mauritius where kestrels hunt arboreally more like hawks ",Other,"['behaviour', 'remains', 'similar', 'to', 'common', 'kestrel', 'except', 'on', '(', 'originally', ')', 'forested', 'mauritius', 'where', 'kestrels', 'hunt', 'arboreally', 'more', 'like', 'hawks', '']","[',', ""''"", 'f', 'tinnunculus', ""''"", ',']","['behaviour', 'remains', 'similar', 'to', 'common', 'kestrel', ',', ""''"", 'f', 'tinnunculus', ""''"", ',', 'except', 'on', '(', 'originally', ')', 'forested', 'mauritius', 'where', 'kestrels', 'hunt', 'arboreally', 'more', 'like', 'hawks', '']",
105,the game operates in short rounds that end when all players on one side are dead or a team 's objective is completed ,not,the game operates in short rounds that end when all players on one side are not dead or a team 's objective is completed ,"Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['the', 'game', 'operates', 'in', 'short', 'rounds', 'that', 'end', 'when', 'all', 'players', 'on', 'one', 'side', 'are', 'dead', 'or', 'a', 'team', ""'s"", 'objective', 'is', 'completed', '']",['not'],"['the', 'game', 'operates', 'in', 'short', 'rounds', 'that', 'end', 'when', 'all', 'players', 'on', 'one', 'side', 'are', 'not', 'dead', 'or', 'a', 'team', ""'s"", 'objective', 'is', 'completed', '']",
106,charles shaar murray ( born charles maximillian murray on 27 june 1951 ) is an english music journalist ,and broadcaster,charles shaar murray ( born charles maximillian murray on 27 june 1951 ) is an english music journalist and broadcaster ,"Wikification ( formating style, adding or removing links etc)","['charles', 'shaar', 'murray', '(', 'born', 'charles', 'maximillian', 'murray', 'on', '27', 'june', '1951', ')', 'is', 'an', 'english', 'music', 'journalist', '']","['and', 'broadcaster']","['charles', 'shaar', 'murray', '(', 'born', 'charles', 'maximillian', 'murray', 'on', '27', 'june', '1951', ')', 'is', 'an', 'english', 'music', 'journalist', 'and', 'broadcaster', '']",
107,"in san francisco , 1998 , 19 - year old aspiring actor greg sestero meets a mysterious man named tommy wiseau in his acting classes with jean shelton ",filmplot -- >,"filmplot -- > in san francisco , 1998 , 19 - year old aspiring actor greg sestero meets a mysterious man named tommy wiseau in his acting classes with jean shelton ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['in', 'san', 'francisco', ',', '1998', ',', '19', '-', 'year', 'old', 'aspiring', 'actor', 'greg', 'sestero', 'meets', 'a', 'mysterious', 'man', 'named', 'tommy', 'wiseau', 'in', 'his', 'acting', 'classes', 'with', 'jean', 'shelton', '']","['filmplot', '--', '>']","['filmplot', '--', '>', 'in', 'san', 'francisco', ',', '1998', ',', '19', '-', 'year', 'old', 'aspiring', 'actor', 'greg', 'sestero', 'meets', 'a', 'mysterious', 'man', 'named', 'tommy', 'wiseau', 'in', 'his', 'acting', 'classes', 'with', 'jean', 'shelton', '']",
108,"the minister of foreign affairs and the closest associate of mosaddegh , hossein fatemi , was executed by order of the shah 's military court ",by firing squad on 10 november 1954,"the minister of foreign affairs and the closest associate of mosaddegh , hossein fatemi , was executed by order of the shah 's military court by firing squad on 10 november 1954 ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['the', 'minister', 'of', 'foreign', 'affairs', 'and', 'the', 'closest', 'associate', 'of', 'mosaddegh', ',', 'hossein', 'fatemi', ',', 'was', 'executed', 'by', 'order', 'of', 'the', 'shah', ""'s"", 'military', 'court', '']","['by', 'firing', 'squad', 'on', '10', 'november', '1954']","['the', 'minister', 'of', 'foreign', 'affairs', 'and', 'the', 'closest', 'associate', 'of', 'mosaddegh', ',', 'hossein', 'fatemi', ',', 'was', 'executed', 'by', 'order', 'of', 'the', 'shah', ""'s"", 'military', 'court', 'by', 'firing', 'squad', 'on', '10', 'november', '1954', '']",
109,"those acids are cinnamic acid , caffeic acid or ferulic acid ",", sinapinic acid","those acids are cinnamic acid , caffeic acid , sinapinic acid or ferulic acid ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['those', 'acids', 'are', 'cinnamic', 'acid', ',', 'caffeic', 'acid', 'or', 'ferulic', 'acid', '']","[',', 'sinapinic', 'acid']","['those', 'acids', 'are', 'cinnamic', 'acid', ',', 'caffeic', 'acid', ',', 'sinapinic', 'acid', 'or', 'ferulic', 'acid', '']",
110,"following the conclusion of the fighting in poland , which was accelerated by the occupation of the eastern part of the country by soviet forces , as agreed in the molotov - ribbentrop agreement , list and his army remained posted as occupying forces on polish territory ",to,"following the conclusion of the fighting in poland , which was accelerated by the occupation of the eastern part of the country by soviet forces , as agreed to in the molotov - ribbentrop agreement , list and his army remained posted as occupying forces on polish territory ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['following', 'the', 'conclusion', 'of', 'the', 'fighting', 'in', 'poland', ',', 'which', 'was', 'accelerated', 'by', 'the', 'occupation', 'of', 'the', 'eastern', 'part', 'of', 'the', 'country', 'by', 'soviet', 'forces', ',', 'as', 'agreed', 'in', 'the', 'molotov', '-', 'ribbentrop', 'agreement', ',', 'list', 'and', 'his', 'army', 'remained', 'posted', 'as', 'occupying', 'forces', 'on', 'polish', 'territory', '']",['to'],"['following', 'the', 'conclusion', 'of', 'the', 'fighting', 'in', 'poland', ',', 'which', 'was', 'accelerated', 'by', 'the', 'occupation', 'of', 'the', 'eastern', 'part', 'of', 'the', 'country', 'by', 'soviet', 'forces', ',', 'as', 'agreed', 'to', 'in', 'the', 'molotov', '-', 'ribbentrop', 'agreement', ',', 'list', 'and', 'his', 'army', 'remained', 'posted', 'as', 'occupying', 'forces', 'on', 'polish', 'territory', '']",
111,"chris poland ( born december 1 , 1957 ) is an american jazz guitarist , best known for being a former member of thrash metal band megadeth from 1984 to 1987 ",fusion,"chris poland ( born december 1 , 1957 ) is an american jazz fusion guitarist , best known for being a former member of thrash metal band megadeth from 1984 to 1987 ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['chris', 'poland', '(', 'born', 'december', '1', ',', '1957', ')', 'is', 'an', 'american', 'jazz', 'guitarist', ',', 'best', 'known', 'for', 'being', 'a', 'former', 'member', 'of', 'thrash', 'metal', 'band', 'megadeth', 'from', '1984', 'to', '1987', '']",['fusion'],"['chris', 'poland', '(', 'born', 'december', '1', ',', '1957', ')', 'is', 'an', 'american', 'jazz', 'fusion', 'guitarist', ',', 'best', 'known', 'for', 'being', 'a', 'former', 'member', 'of', 'thrash', 'metal', 'band', 'megadeth', 'from', '1984', 'to', '1987', '']",
112,the elections for the second term were won by the coalition between the radical party ( center ) and the ceda ( right ) ,held in 1933 and,the elections for the second term were held in 1933 and won by the coalition between the radical party ( center ) and the ceda ( right ) ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['the', 'elections', 'for', 'the', 'second', 'term', 'were', 'won', 'by', 'the', 'coalition', 'between', 'the', 'radical', 'party', '(', 'center', ')', 'and', 'the', 'ceda', '(', 'right', ')', '']","['held', 'in', '1933', 'and']","['the', 'elections', 'for', 'the', 'second', 'term', 'were', 'held', 'in', '1933', 'and', 'won', 'by', 'the', 'coalition', 'between', 'the', 'radical', 'party', '(', 'center', ')', 'and', 'the', 'ceda', '(', 'right', ')', '']",
113,nickelodeon now owns the rights to the 2003 series ,since mid-october 2009,since mid-october 2009 nickelodeon now owns the rights to the 2003 series ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['nickelodeon', 'now', 'owns', 'the', 'rights', 'to', 'the', '2003', 'series', '']","['since', 'mid-october', '2009']","['since', 'mid-october', '2009', 'nickelodeon', 'now', 'owns', 'the', 'rights', 'to', 'the', '2003', 'series', '']",
114,"tetrabutyl ammonium hydroxide is the chemical compound with the formula ( c 4 h 9 ) 4 noh , abbreviated bu 4 noh with the acronymn tbah ",tbaoh or,"tetrabutyl ammonium hydroxide is the chemical compound with the formula ( c 4 h 9 ) 4 noh , abbreviated bu 4 noh with the acronymn tbaoh or tbah ","Adding spammy, useless or derogatory content","['tetrabutyl', 'ammonium', 'hydroxide', 'is', 'the', 'chemical', 'compound', 'with', 'the', 'formula', '(', 'c', '4', 'h', '9', ')', '4', 'noh', ',', 'abbreviated', 'bu', '4', 'noh', 'with', 'the', 'acronymn', 'tbah', '']","['tbaoh', 'or']","['tetrabutyl', 'ammonium', 'hydroxide', 'is', 'the', 'chemical', 'compound', 'with', 'the', 'formula', '(', 'c', '4', 'h', '9', ')', '4', 'noh', ',', 'abbreviated', 'bu', '4', 'noh', 'with', 'the', 'acronymn', 'tbaoh', 'or', 'tbah', '']",
115,agnew has lived in elderslie most of his life with a few years living in glasgow while trying to find work and graduating from college ,", renfrewshire , scotland","agnew has lived in elderslie , renfrewshire , scotland most of his life with a few years living in glasgow while trying to find work and graduating from college ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['agnew', 'has', 'lived', 'in', 'elderslie', 'most', 'of', 'his', 'life', 'with', 'a', 'few', 'years', 'living', 'in', 'glasgow', 'while', 'trying', 'to', 'find', 'work', 'and', 'graduating', 'from', 'college', '']","[',', 'renfrewshire', ',', 'scotland']","['agnew', 'has', 'lived', 'in', 'elderslie', ',', 'renfrewshire', ',', 'scotland', 'most', 'of', 'his', 'life', 'with', 'a', 'few', 'years', 'living', 'in', 'glasgow', 'while', 'trying', 'to', 'find', 'work', 'and', 'graduating', 'from', 'college', '']",
116,"while early atlases focused on merely presence or absence of species , there is an increasing trend towards those that indicate abundance or relative abundance ","and their breeding ,","while early atlases focused on merely presence or absence of species , and their breeding , there is an increasing trend towards those that indicate abundance or relative abundance ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['while', 'early', 'atlases', 'focused', 'on', 'merely', 'presence', 'or', 'absence', 'of', 'species', ',', 'there', 'is', 'an', 'increasing', 'trend', 'towards', 'those', 'that', 'indicate', 'abundance', 'or', 'relative', 'abundance', '']","['and', 'their', 'breeding', ',']","['while', 'early', 'atlases', 'focused', 'on', 'merely', 'presence', 'or', 'absence', 'of', 'species', ',', 'and', 'their', 'breeding', ',', 'there', 'is', 'an', 'increasing', 'trend', 'towards', 'those', 'that', 'indicate', 'abundance', 'or', 'relative', 'abundance', '']",
117,the householder transformation was introduced 1958 by alston scott householder ,in,the householder transformation was introduced in 1958 by alston scott householder ,"Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['the', 'householder', 'transformation', 'was', 'introduced', '1958', 'by', 'alston', 'scott', 'householder', '']",['in'],"['the', 'householder', 'transformation', 'was', 'introduced', 'in', '1958', 'by', 'alston', 'scott', 'householder', '']",
118,"pearce became a noted translator , winning the scott - moncrieff prize three times ",later,"pearce later became a noted translator , winning the scott - moncrieff prize three times ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['pearce', 'became', 'a', 'noted', 'translator', ',', 'winning', 'the', 'scott', '-', 'moncrieff', 'prize', 'three', 'times', '']",['later'],"['pearce', 'later', 'became', 'a', 'noted', 'translator', ',', 'winning', 'the', 'scott', '-', 'moncrieff', 'prize', 'three', 'times', '']",
119,he was made a member of the order of canada in 1986 ,and screwed up his life by sucking it,he was made a member of the order of canada in 1986 and screwed up his life by sucking it ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['he', 'was', 'made', 'a', 'member', 'of', 'the', 'order', 'of', 'canada', 'in', '1986', '']","['and', 'screwed', 'up', 'his', 'life', 'by', 'sucking', 'it']","['he', 'was', 'made', 'a', 'member', 'of', 'the', 'order', 'of', 'canada', 'in', '1986', 'and', 'screwed', 'up', 'his', 'life', 'by', 'sucking', 'it', '']",
120,"jim lash ( born 1951 , in pittsburgh ) was an american football player who played wide receiver in the nfl in the 1970s and played on three super bowl teams ",", usa","jim lash ( born 1951 , in pittsburgh , usa ) was an american football player who played wide receiver in the nfl in the 1970s and played on three super bowl teams ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['jim', 'lash', '(', 'born', '1951', ',', 'in', 'pittsburgh', ')', 'was', 'an', 'american', 'football', 'player', 'who', 'played', 'wide', 'receiver', 'in', 'the', 'nfl', 'in', 'the', '1970s', 'and', 'played', 'on', 'three', 'super', 'bowl', 'teams', '']","[',', 'usa']","['jim', 'lash', '(', 'born', '1951', ',', 'in', 'pittsburgh', ',', 'usa', ')', 'was', 'an', 'american', 'football', 'player', 'who', 'played', 'wide', 'receiver', 'in', 'the', 'nfl', 'in', 'the', '1970s', 'and', 'played', 'on', 'three', 'super', 'bowl', 'teams', '']",
121,"lopez was born in sweden and later moved to uruguay , then back to sweden ",is cool and,"lopez is cool and was born in sweden and later moved to uruguay , then back to sweden ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['lopez', 'was', 'born', 'in', 'sweden', 'and', 'later', 'moved', 'to', 'uruguay', ',', 'then', 'back', 'to', 'sweden', '']","['is', 'cool', 'and']","['lopez', 'is', 'cool', 'and', 'was', 'born', 'in', 'sweden', 'and', 'later', 'moved', 'to', 'uruguay', ',', 'then', 'back', 'to', 'sweden', '']",
122,"media matters for america , ryan chittum in the '' columbia journalism review '' , and others , disputed d'souza 's assertions about barack obama ",president,"media matters for america , ryan chittum in the '' columbia journalism review '' , and others , disputed d'souza 's assertions about president barack obama ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['media', 'matters', 'for', 'america', ',', 'ryan', 'chittum', 'in', 'the', ""''"", 'columbia', 'journalism', 'review', ""''"", ',', 'and', 'others', ',', 'disputed', ""d'souza"", ""'s"", 'assertions', 'about', 'barack', 'obama', '']",['president'],"['media', 'matters', 'for', 'america', ',', 'ryan', 'chittum', 'in', 'the', ""''"", 'columbia', 'journalism', 'review', ""''"", ',', 'and', 'others', ',', 'disputed', ""d'souza"", ""'s"", 'assertions', 'about', 'president', 'barack', 'obama', '']",
123,"this is part of the scientific process , and rarely produces results that transfer painlessly to the real world ",all,"this is all part of the scientific process , and rarely produces results that transfer painlessly to the real world ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['this', 'is', 'part', 'of', 'the', 'scientific', 'process', ',', 'and', 'rarely', 'produces', 'results', 'that', 'transfer', 'painlessly', 'to', 'the', 'real', 'world', '']",['all'],"['this', 'is', 'all', 'part', 'of', 'the', 'scientific', 'process', ',', 'and', 'rarely', 'produces', 'results', 'that', 'transfer', 'painlessly', 'to', 'the', 'real', 'world', '']",
124,"victoria 's secret was accused of cultural appropriation in their 2017 fashion show , which featured outfits inspired by traditional native fashion ",again,"victoria 's secret was again accused of cultural appropriation in their 2017 fashion show , which featured outfits inspired by traditional native fashion ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['victoria', ""'s"", 'secret', 'was', 'accused', 'of', 'cultural', 'appropriation', 'in', 'their', '2017', 'fashion', 'show', ',', 'which', 'featured', 'outfits', 'inspired', 'by', 'traditional', 'native', 'fashion', '']",['again'],"['victoria', ""'s"", 'secret', 'was', 'again', 'accused', 'of', 'cultural', 'appropriation', 'in', 'their', '2017', 'fashion', 'show', ',', 'which', 'featured', 'outfits', 'inspired', 'by', 'traditional', 'native', 'fashion', '']",
